"headline","text","keywords","ratingName"
"Fiorina: Trump's abortion flip-flop","Says Donald Trump has 'changed his mind' on abortion.","Abortion","TRUE"
"Sean Hannity says Barack Obama's jobs bill creates new avenue for unemployed to sue for discrimination","Under President Barack Obama’s jobs bill, 'you can sue if you are unemployed and don't get the job and think you weren't hired because you are unemployed.'","Jobs,Legal Issues,Pundits,Workers","TRUE"
"""""Executive"""" makes it right","Sarah Palin 'already has more executive experience' than Barack Obama and Joe Biden 'combined.'","Candidate Biography","TRUE"
"Chase Bank Won’t Allow Cash Deposits?","Chase Bank does not allow cash deposits made by non-account holders.","ASP Article, Bank On It, music","TRUE"
"Shackelford Prayer Request","Battalion chaplain requests prayers for soldiers delivering voting machines and ballots in Iraq.","ASP Article","TRUE"
"Worst Disaster","Television news screen shot captures President Bush with an inadvertently humorous caption.","ASP Article","TRUE"
"Yin, Yang And Yawn","The drug clomipramine has been known to cause orgasms in yawning patients.","Aphrodisiacs, ASP Article","TRUE"
"Fish Fly","Video clip shows fish jumping into a boat.","animals, ASP Article","TRUE"
"Is the ‘Tide Pod Challenge’ a Real Thing?","The 'Tide pod challenge' is a real viral phenomenon whereby people bite into Tide brand laundry detergent pods.","dares, social media, tide pod challenge, viral challenges, viral dares","TRUE"
"Man Living at Paris Airport","Between 1988 and 2006, a man lived at a Paris airport.","Air Apparent, ASP Article","TRUE"
"Massive alligator spotted roaming Florida golf course. Is it real?","Say video 'shows massive alligator strolling across Florida golf course.'","Animals","TRUE"
"Terry Jones ‘Losing Patience’ Essay","Monty Python member Terry Jones is the author of ‘I’m Losing Patience with My Neighbours. Mr. Bush.’","ASP Article","TRUE"
"Has Warrick Dunn Built More Than 145 Homes for Single Parents?","Warrick Dunn started a charitable program to house single-parent families in honor of his mother, a police officer who was killed when he was a teenager.","colin kaepernick","TRUE"
"Snake in the Gas","Photographs show a chopped-up snake found by a motorist on his engine block.","animals, ASP Article","TRUE"
"Razor Blade Found in Footies","A razor blade discovered in a child’s “footies” (footed pajamas) injured a baby.","ASP Article, Parental Nightmares","TRUE"
"Condoleezza Rice Shops for Shoes","Condoleezza Rice shopped for expensive shoes during Hurricane Katrina.","ASP Article","TRUE"
"Wisconsin Department of Natural Resources Removes References to ‘Climate’ from Web Site","The Wisconsin Department of Natural Resources’ webpage regarding climate change’s potential effects on the Great Lakes was scrubbed of references to the word ‘climate’.","climate change, scott walker","TRUE"
"Alexi Giannoulias says Kirk mixed politics and military service","'He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.'","Afghanistan,Candidate Biography,Iraq,Message Machine 2010,Military,Patriotism","TRUE"
"She failed, then followed Bill","'She flunked the D.C. bar exam.'","Candidate Biography","TRUE"
"Did President Trump Decry Babies Being ‘Born in the Ninth Month’?","President Trump said that a number of state laws allow a baby 'to be born from his or her mother’s womb in the ninth month.'","abortion, donald trump","TRUE"
"Rep. Tim Ryan not shy about bringing home the bacon","'Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.'","Federal Budget","TRUE"
"Is measles a leading cause of child blindness around the world?","'Measles is one of the most common causes of child blindness worldwide.'","Health Care,Public Health","TRUE"
"Oxendine says Georgia has a higher dropout rate than Alabama","Georgia has 'a dropout rate that’s higher' than Alabama's.","Education,Message Machine 2010","TRUE"
"Ward Armstrong says Appalachian Power wants a 10 percent rate hike","'[Appalachian Power] wants another 10 percent rate increase. The compensation package for CEO Mike Morris rose 22 percent to $8.7 million in 2010.'","Regulation","TRUE"
"Joe Biden says he never called for partition of Iraq","'I never called for a partition' of Iraq.","Iraq,This Week - ABC News","TRUE"
"National Motto Letter to President Obama","Members of the Congressional Prayer Caucus sent President Obama a letter correcting his reference to E pluribus unum as the U.S. national motto.","ASP Article","TRUE"
